word, type, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
UPSET, STIM, LOW, 5, 1.2971, 2.9622, -0.9800, -2.3409, 0.3503
YONDER, STIM, LOW, 6, 0.5485, -1.1358, -0.0902, -1.0456, 0.0667
SMOOTH, STIM, LOW, 6, 0.3430, -1.9818, -0.9431, -1.0387, 0.1668
SCHOOL, FOIL, HIGH, 6, 0.4236, NA, NA, NA, NA
WOE, FOIL, LOW, 1, 1.5220, NA, NA, NA, NA
CAUCUS, STIM, LOW, 6, 0.7314, -2.5635, 0.5909, 3.1288, 0.2669
CAVE, STIM, HIGH, 6, 0.9010, 1.7333, -1.7553, -2.7946, 0.1835
PIT, STIM, HIGH, 6, 0.6977, 0.1709, -1.6436, 1.8145, 0.0667
CODE, FOIL, LOW, 2, 0.6354, NA, NA, NA, NA
NAPKIN, FOIL, HIGH, 1, 0.5874, NA, NA, NA, NA
LIVE, FOIL, LOW, 6, 0.4152, NA, NA, NA, NA
GRAVEL, FOIL, HIGH, 3, 1.2345, NA, NA, NA, NA
LUNCH, FOIL, HIGH, 4, 1.1796, NA, NA, NA, NA
DOVE, FOIL, HIGH, 2, 0.8618, NA, NA, NA, NA
TUFF, STIM, LOW, 6, 0.6808, 0.2597, 0.9051, -0.6454, 0.6672
SUEDE, STIM, HIGH, 6, 0.4608, 1.0817, -0.0295, 1.1113, 0.1001
STAIR, STIM, HIGH, 6, 0.4375, -1.3534, 1.2153, -2.5687, 0.4003
FENCE, STIM, HIGH, 5, 0.6337, -0.2761, -2.5398, 2.2637, 0.3503
LAMP, FOIL, HIGH, 3, 0.9175, NA, NA, NA, NA
ARRAY, FOIL, LOW, 2, 0.5759, NA, NA, NA, NA
WHOM, FOIL, LOW, 2, 0.6947, NA, NA, NA, NA
MEAL, STIM, HIGH, 6, 0.6526, -1.0313, 2.9305, 2.3214, 0.1001
MISERY, FOIL, LOW, 6, 1.4676, NA, NA, NA, NA
POWER, STIM, LOW, 5, 0.5663, -1.0624, -0.9601, -0.1023, 0.2502
HARE, STIM, HIGH, 6, 0.6853, 2.7430, -1.9004, -1.6397, 0.1501
BEER, STIM, HIGH, 6, 0.8220, 1.9089, 0.4168, 1.4921, 0.1168
RULE, STIM, LOW, 6, 0.6661, -1.7305, 1.3473, -3.0778, 0.0834
