,word,FREQcount,CDcount,FREQlow,CDlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,length
2641,gentle,844,630,758,586,16.55,2.9269,7.51,2.8,6
2642,motion,967,630,851,579,18.96,2.9859,7.51,2.8,6
2645,flower,1161,629,936,580,22.76,3.0652,7.5,2.7993,6
2649,france,1380,626,13,4,27.06,3.1402,7.46,2.7973,6
2655,shadow,1080,624,801,571,21.18,3.0338,7.44,2.7959,6
2665,nation,1045,620,967,591,20.49,3.0195,7.39,2.7931,6
2676,photos,1016,615,975,591,19.92,3.0073,7.33,2.7896,6
2693,beside,774,611,718,570,15.18,2.8893,7.28,2.7868,6
2694,crisis,849,611,805,581,16.65,2.9294,7.28,2.7868,6
2705,blocks,765,608,755,600,15,2.8842,7.25,2.7846,6
2708,laughs,1238,607,1023,540,24.27,3.0931,7.24,2.7839,6
2709,league,950,607,576,391,18.63,2.9782,7.24,2.7839,6
2710,relief,744,607,709,588,14.59,2.8722,7.24,2.7839,6
2722,favour,948,603,942,601,18.59,2.9773,7.19,2.781,6
2723,merely,795,603,729,563,15.59,2.9009,7.19,2.781,6
2727,drives,728,601,679,561,14.27,2.8627,7.16,2.7796,6
2730,valley,1275,600,560,302,25,3.1059,7.15,2.7789,6
2738,reward,919,598,900,591,18.02,2.9638,7.13,2.7774,6
2739,admire,722,597,709,591,14.16,2.8591,7.12,2.7767,6
2747,deeply,736,596,700,574,14.43,2.8675,7.11,2.776,6
2748,ending,812,596,789,582,15.92,2.9101,7.11,2.776,6
2752,washed,718,596,690,577,14.08,2.8567,7.11,2.776,6
2754,filthy,838,594,728,535,16.43,2.9238,7.08,2.7745,6
2757,counts,691,592,683,585,13.55,2.8401,7.06,2.7731,6
2759,polite,711,592,682,576,13.94,2.8525,7.06,2.7731,6
2761,attend,715,591,691,573,14.02,2.8549,7.05,2.7723,6
2763,skills,743,591,734,588,14.57,2.8716,7.05,2.7723,6
2764,supper,988,591,898,555,19.37,2.9952,7.05,2.7723,6
2766,thirty,876,590,410,274,17.18,2.943,7.03,2.7716,6
2770,agency,991,588,773,482,19.43,2.9965,7.01,2.7701,6
2789,degree,759,585,745,579,14.88,2.8808,6.97,2.7679,6
2796,agents,1074,583,979,547,21.06,3.0314,6.95,2.7664,6
2799,recent,669,583,638,559,13.12,2.8261,6.95,2.7664,6
2800,stress,796,583,755,560,15.61,2.9015,6.95,2.7664,6
