"","X","word","type","condition","recog_rating","recog_RT","target_angle","response_angle","response_error","response_RT","participant"
"451",451,"BARD"," STIM"," LOW","6",2.1659,0.6156,0.6269,-0.0113,0.5504,1
"452",452,"BRIBE"," STIM"," LOW","1",1.8427,1.136,-1.9703,3.1063,0.4503,1
"457",457,"FOE"," STIM"," LOW","1",1.4556,1.8102,-0.782,2.5922,0.3169,1
"462",462,"PUT"," STIM"," LOW","1",0.9284,0.4056,0.0666,0.339,0.5171,1
"463",463,"CARRY"," STIM"," LOW","6",0.5819,1.8139,0.8676,0.9463,0.5004,1
"467",467,"SHONE"," STIM"," LOW","1",0.6847,-2.4992,0.4748,-2.974,0.4503,1
"469",469,"VISE"," STIM"," LOW","1",1.2902,-1.7558,2.4522,2.0752,0.467,1
"471",471,"PUMP"," STIM"," HIGH","6",0.6369,-0.0448,-1.8442,1.7994,0.4003,1
"472",472,"MEADOW"," STIM"," HIGH","1",0.722,1.9376,-2.3526,-1.993,0.6171,1
"474",474,"EMPTY"," STIM"," LOW","6",0.7601,2.6089,-0.8105,-2.8638,0.3836,1
"477",477,"EARTH"," STIM"," HIGH","1",0.5659,-1.9386,-0.0389,-1.8997,0.3336,1
"478",478,"FOOT"," STIM"," HIGH","6",0.5271,2.3365,-0.3852,2.7216,0.2002,1
"479",479,"ITEM"," STIM"," LOW","6",0.5227,-1.3353,2.8198,2.1281,1.351,1
"481",481,"BOTHER"," STIM"," LOW","1",1.2755,2.8632,-2.287,-1.133,0.3836,1
"483",483,"QUEST"," STIM"," LOW","1",0.7242,-2.7219,-0.2274,-2.4945,0.934,1
"486",486,"POSTER"," STIM"," HIGH","1",0.6459,-2.6265,0.687,2.9698,0.417,1
"487",487,"FEET"," STIM"," HIGH","6",1.1908,0.4194,2.4346,-2.0152,0.6839,1
"488",488,"VIEW"," STIM"," LOW","6",2.72,1.7908,2.4063,-0.6155,2.7187,1
"494",494,"THAW"," STIM"," LOW","6",0.9829,0.2564,0.4245,-0.1681,2.9022,1
"495",495,"TWO"," STIM"," LOW","1",0.7972,0.3384,1.8894,-1.551,0.834,1
"497",497,"BUDGET"," STIM"," LOW","1",1.1788,1.3965,2.7239,-1.3274,0.834,1
"499",499,"WARE"," STIM"," LOW","1",0.8298,-1.5583,2.8387,1.8862,0.4837,1
