word, type, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
GRIEF, STIM, LOW, 6, 0.9822, -0.2073, -0.3728, 0.1655, 0.7172
BANANA, FOIL, HIGH, 1, 0.9484, NA, NA, NA, NA
CIGAR, FOIL, HIGH, 1, 0.6732, NA, NA, NA, NA
DECREE, FOIL, LOW, 1, 0.5265, NA, NA, NA, NA
VIOLIN, STIM, HIGH, 6, 0.6334, -0.2230, -0.2563, 0.0333, 0.7005
PENCIL, STIM, HIGH, 6, 0.9467, -0.4417, -0.1944, -0.2472, 0.7673
CROW, STIM, HIGH, 6, 0.6338, 2.4851, 2.3379, 0.1472, 0.6839
ADZE, FOIL, LOW, 1, 0.7923, NA, NA, NA, NA
CLOVER, STIM, HIGH, 6, 0.6209, -0.5205, -0.6154, 0.0949, 0.8173
THUMB, FOIL, HIGH, 1, 0.7123, NA, NA, NA, NA
ADDER, STIM, HIGH, 2, 1.0519, -2.0126, 2.6802, 1.5903, 0.9174
OUT, FOIL, LOW, 1, 1.1645, NA, NA, NA, NA
SALAD, STIM, HIGH, 6, 0.9786, -1.9153, -1.8334, -0.0819, 0.8340
VACANT, FOIL, LOW, 1, 1.0836, NA, NA, NA, NA
SOFTLY, STIM, LOW, 6, 1.1996, 0.9845, 0.9138, 0.0706, 1.3010
BROOM, FOIL, HIGH, 1, 1.0883, NA, NA, NA, NA
BANDIT, FOIL, HIGH, 3, 1.2623, NA, NA, NA, NA
CITE, STIM, LOW, 6, 0.7613, 0.3895, 0.5779, -0.1884, 0.7506
THESE, FOIL, LOW, 1, 0.7333, NA, NA, NA, NA
COIF, FOIL, LOW, 1, 0.6978, NA, NA, NA, NA
BYRE, STIM, LOW, 6, 0.7061, 1.2085, 1.9617, -0.7532, 0.5504
INNATE, FOIL, LOW, 1, 0.7189, NA, NA, NA, NA
CURB, STIM, HIGH, 6, 0.5785, 2.0169, 1.9978, 0.0191, 0.5504
MOTHER, STIM, HIGH, 6, 0.5493, -1.2010, -1.0931, -0.1078, 0.8173
PAID, STIM, LOW, 6, 0.5533, 2.7392, 2.6943, 0.0449, 0.6672
THORN, FOIL, HIGH, 5, 1.4420, NA, NA, NA, NA
WARN, FOIL, LOW, 1, 0.5606, NA, NA, NA, NA
HAND, STIM, HIGH, 6, 1.5596, -2.3541, -2.3488, -0.0053, 0.8840
TUCK, STIM, LOW, 6, 0.6648, 1.3733, 1.5860, -0.2127, 0.7172
ASTUTE, FOIL, LOW, 1, 0.8402, NA, NA, NA, NA
MARKET, STIM, HIGH, 6, 0.6780, -1.9087, -1.9104, 0.0017, 0.8173
VOLUME, STIM, LOW, 6, 1.6652, -0.3028, -0.2640, -0.0388, 0.6171
SAVANT, STIM, LOW, 6, 2.7403, -1.2933, -1.1210, -0.1723, 0.6505
BREAK, FOIL, LOW, 1, 1.0419, NA, NA, NA, NA
WOOD, FOIL, HIGH, 2, 1.1662, NA, NA, NA, NA
HARDLY, FOIL, LOW, 1, 0.8932, NA, NA, NA, NA
OX, STIM, HIGH, 3, 0.9333, 1.9392, 2.5396, -0.6004, 0.5004
STRIPE, FOIL, HIGH, 2, 0.9104, NA, NA, NA, NA
SHARK, STIM, HIGH, 6, 0.9525, -1.0260, -0.9973, -0.0287, 0.8006
SOCIAL, FOIL, LOW, 1, 0.7721, NA, NA, NA, NA
PRIEST, STIM, HIGH, 6, 0.6620, 0.0408, 0.0000, 0.0408, 0.5171
LUNCH, STIM, HIGH, 6, 0.5942, 0.2471, 0.3805, -0.1334, 0.8673
SEVER, FOIL, LOW, 1, 0.7368, NA, NA, NA, NA
OWL, STIM, HIGH, 6, 0.6032, 2.1610, 2.5154, -0.3544, 0.5838
CALF, FOIL, HIGH, 6, 0.6710, NA, NA, NA, NA
TRAIN, FOIL, HIGH, 1, 1.1062, NA, NA, NA, NA
WAX, STIM, HIGH, 6, 0.5347, -2.1143, -2.0209, -0.0934, 0.7506
PIGEON, STIM, HIGH, 6, 0.6737, 3.0463, 2.8511, 0.1951, 3.4860
IRON, STIM, HIGH, 6, 0.5573, 2.9288, 3.0445, -0.1156, 0.5337
OVEN, FOIL, HIGH, 2, 2.3359, NA, NA, NA, NA
DOVE, FOIL, HIGH, 2, 0.8295, NA, NA, NA, NA
