,condition,recog_rating,recog_RT,target_angle,response_angle,response_error,response_RT,participant
1631,2,1,0.5288,1.1242,3.1036,-1.9794,0.9674,1
1641,2,6,0.4968,2.5367,-0.6671,-3.0794,0.1668,1
1651,2,1,0.4868,-0.9325,-2.7629,1.8304,0.8173,1
1692,2,1,1.0491,0.4599,-2.9285,-2.8948,0.2835,1
1741,1,1,0.6443,-0.5478,2.5135,-3.0613,0.3169,1
1751,1,1,0.5888,2.0403,2.2739,-0.2337,0.2669,1
1781,2,6,0.7912,2.1124,-2.4991,-1.6717,0.417,1
1821,1,1,3.8304,-0.1914,-0.1067,-0.0847,0.0834,1
1832,2,4,1.3916,1.1331,3.0084,-1.8752,0.2502,1
185,1,2,0.8859,-0.4065,2.9646,2.9121,0.1001,1
1892,2,1,0.5293,-1.1752,2.8598,2.2481,0.1168,1
190,1,1,0.7055,0.0956,-0.0097,0.1053,0.9007,1
1931,2,1,0.4477,-3.0428,-0.4593,-2.5835,0.1001,1
1942,1,1,0.239,-1.284,3.0117,1.9875,0.2669,1
1972,1,1,0.3746,-3.0274,-0.1073,-2.9201,0.3503,1
1981,2,1,0.3435,1.8653,2.9125,-1.0472,0.7172,1
1992,2,1,0.7204,-2.686,0.0398,-2.7258,0.9841,1
2021,2,1,0.5711,1.7386,0.0883,1.6503,0.1168,1
2031,2,6,1.7983,-1.0027,-0.5867,-0.416,0.3169,1
2041,2,1,1.591,-0.1287,-0.3985,0.2698,0.1168,1
205,2,1,0.6434,1.983,2.7665,-0.7835,0.2835,1
2062,2,1,1.9755,-2.7498,1.6518,1.8815,0.5838,1
2071,1,1,1.8523,0.8693,2.6871,-1.8178,0.1001,1
211,2,1,1.1202,2.2626,-0.8581,3.1207,0.1501,1
2121,2,1,0.4263,-0.2189,2.6019,-2.8208,0.3002,1
2141,1,1,1.1754,2.3947,1.1144,1.2803,0.6338,1
216,2,1,0.5041,-2.5765,-2.2391,-0.3374,0.2502,1
2211,2,1,2.7382,0.453,3.1,-2.6469,0.3669,1
2241,1,1,0.4167,2.6951,-1.7023,-1.8858,0.2669,1
227,2,4,1.1612,-2.7024,1.4864,2.0943,0.2335,1
231,2,1,0.6502,1.8252,-0.0298,1.8549,0.0667,1
2321,2,1,0.6758,-2.8854,-0.0314,-2.854,0.0834,1
233,2,1,0.4347,-2.4249,3.1273,0.731,0.0667,1
2381,1,1,0.6581,0.2755,-0.1606,0.4362,0.1334,1
2402,2,5,0.901,-0.995,2.8383,2.4498,0.1501,1
241,2,1,0.9118,-2.2529,-0.281,-1.9718,0.05,1
243,1,1,0.3804,1.3034,2.7901,-1.4868,0.0667,1
2441,1,4,0.8142,1.221,-0.0872,1.3082,0.0834,1
2491,1,1,0.8912,1.7575,-1.7795,-2.7461,0.1334,1
250,2,1,0.5745,0.2487,1.5339,-1.2853,0.1168,1
2512,2,1,0.5885,-2.4621,2.7775,1.0437,0.2002,1
2521,2,1,0.6937,0.8909,-2.9568,-2.4355,0.0667,1
2531,2,4,0.1775,0.0161,0.4027,-0.3865,0.0834,1
2571,2,5,0.3602,0.4043,-0.0303,0.4346,0.0834,1
2591,1,1,0.4463,-2.3858,2.1743,1.7231,0.2669,1
2611,1,1,0.6603,2.6253,2.3455,0.2798,0.467,1
262,2,1,0.5409,-1.1336,-0.6707,-0.4629,0.5171,1
2652,2,6,0.5708,-2.4475,2.1231,1.7126,0.3002,1
2672,2,6,0.9941,1.97,-3.058,-1.2552,1.0174,1
2691,1,1,0.322,-0.2959,0.4467,-0.7426,0.2002,1
2712,1,1,0.7626,-0.848,-2.5334,1.6854,0.5004,1
2731,1,1,0.7873,2.1839,1.194,0.9899,0.5004,1
2772,1,1,2.4684,-2.4369,-0.4036,-2.0332,0.4337,1
2791,2,1,1.9819,0.6606,2.1516,-1.491,0.6672,1
280,1,1,0.3032,1.8449,-3.0855,-1.3528,0.3836,1
1100,1,1,5.8191,0.0961,2.5882,-2.492,0.417,1
3,2,1,0.759,-0.5509,-0.1156,-0.4353,0.0667,1
7,1,6,1.4996,-2.3976,-0.2638,-2.1337,0.1168,1
811,1,6,0.5962,-2.3712,1.1894,2.7225,0.2669,1
913,1,6,0.5881,2.2909,1.4404,0.8505,0.1501,1
1114,1,1,0.7113,-0.6273,1.9744,-2.6017,0.4503,1
1213,2,6,0.777,1.9464,3.1332,-1.1868,0.05,1
1510,1,6,0.5217,0.5949,3.1089,-2.514,0.05,1
1710,1,1,0.501,-1.4526,3.0356,1.795,0.1835,1
1911,1,6,0.8833,-3.0731,-0.2606,-2.8125,0.0667,1
2311,2,1,0.6867,-1.8713,1.731,2.6809,0.1001,1
2411,2,1,0.9207,-1.5326,2.3332,2.4173,0.4503,1
2711,2,1,0.8867,-0.8923,0.2846,-1.1769,0.2002,1
285,1,6,0.734,-2.5808,-0.6193,-1.9615,0.4337,1
301,2,1,0.5325,1.5315,-1.3934,2.9249,0.0667,1
33,1,1,0.6982,0.6346,-2.9956,-2.653,0.3503,1
34,2,6,1.9676,1.6331,-0.2417,1.8748,0.2835,1
362,1,6,2.5046,-1.4976,2.5467,2.2389,0.0667,1
371,2,1,2.1328,-1.2408,-2.2756,1.0348,0.0667,1
401,2,1,1.7451,-2.497,3.085,0.7012,0.3002,1
43,1,1,0.8181,1.1472,2.8646,-1.7174,0.4337,1
44,2,1,0.4091,0.7412,2.3306,-1.5894,0.4503,1
463,2,6,1.0046,1.4478,3.0287,-1.5809,0.1501,1
471,2,1,0.8287,1.8641,-0.1523,2.0163,0.1001,1
49,2,1,1.5694,-0.5803,-0.2783,-0.302,0.0334,1
521,2,1,1.0653,1.9975,-0.1993,2.1968,0.3002,1
531,1,6,0.794,2.6193,3.1026,-0.4833,0.6338,1
551,2,1,0.6466,2.6788,-0.5667,-3.0377,0.0834,1
572,2,1,2.7067,-0.4944,-0.1353,-0.3591,0.0834,1
602,1,1,0.9476,2.8149,0.1913,2.6236,0.934,1
632,1,1,0.6257,-2.9418,2.4339,0.9075,0.6005,1
