word, type, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
BRUTAL, FOIL, LOW, 1, 1.2501, NA, NA, NA, NA
INFANT, STIM, HIGH, 6, 1.1785, -1.3064, -1.4516, 0.1452, 1.2510
CANNON, FOIL, HIGH, 1, 1.1833, NA, NA, NA, NA
RING, FOIL, HIGH, 4, 3.5944, NA, NA, NA, NA
VAGUE, FOIL, LOW, 1, 2.0532, NA, NA, NA, NA
GLAD, STIM, LOW, 1, 4.9976, 1.7448, 1.7561, -0.0114, 3.0190
SADDLE, STIM, HIGH, 6, 1.2077, 2.1728, 2.0461, 0.1267, 0.8006
LAWYER, FOIL, HIGH, 1, 1.2011, NA, NA, NA, NA
ASSIST, STIM, LOW, 6, 1.4272, -2.8349, -2.5803, -0.2546, 0.7673
FIRST, FOIL, LOW, 6, 4.6070, NA, NA, NA, NA
EARN, STIM, LOW, 6, 1.4340, 0.3276, -0.0104, 0.3380, 2.0349
MEANT, STIM, LOW, 6, 0.9290, -2.6107, -1.8484, -0.7623, 2.5353
JERID, STIM, LOW, 6, 0.7154, 2.6673, 2.1255, 0.5418, 1.9181
LAZY, FOIL, LOW, 1, 3.8005, NA, NA, NA, NA
BRIDGE, FOIL, HIGH, 1, 1.1735, NA, NA, NA, NA
TOOTH, FOIL, HIGH, 1, 2.5351, NA, NA, NA, NA
NAVEL, FOIL, HIGH, 5, 3.2950, NA, NA, NA, NA
SLEPT, STIM, LOW, 6, 1.3948, -0.7587, -0.9814, 0.2227, 2.5686
SWORD, FOIL, HIGH, 1, 1.3552, NA, NA, NA, NA
BAWL, FOIL, LOW, 1, 1.6399, NA, NA, NA, NA
HIDE, STIM, LOW, 6, 3.2300, 1.6194, 1.3032, 0.3162, 1.7180
SPONGE, STIM, HIGH, 6, 1.1297, 1.7049, 1.8845, -0.1797, 0.6672
TEACH, STIM, LOW, 6, 1.0582, 0.1616, 0.7007, -0.5391, 1.5845
WAS, FOIL, LOW, 1, 2.9239, NA, NA, NA, NA
NOEL, STIM, LOW, 6, 1.0270, -2.0607, -2.1560, 0.0953, 2.1683
SINCE, STIM, LOW, 6, 0.9846, -0.3528, -0.9068, 0.5540, 1.4678
LEVITY, FOIL, LOW, 1, 1.5651, NA, NA, NA, NA
MAP, FOIL, HIGH, 1, 3.4421, NA, NA, NA, NA
CLIFF, STIM, HIGH, 6, 2.2008, 2.4041, 2.0368, 0.3674, 1.3510
RISK, STIM, LOW, 6, 1.1282, 2.2225, 1.8321, 0.3904, 1.3343
BRANCH, FOIL, HIGH, 1, 3.6473, NA, NA, NA, NA
RENT, STIM, LOW, 6, 1.1995, 1.0376, 1.3734, -0.3358, 0.9507
FEW, FOIL, LOW, 1, 1.1561, NA, NA, NA, NA
FURY, STIM, LOW, 6, 1.0683, -1.8644, -1.8603, -0.0041, 0.7673
PARDON, FOIL, LOW, 1, 1.0647, NA, NA, NA, NA
CANDLE, STIM, HIGH, 6, 1.1599, 1.9655, 1.8448, 0.1207, 0.9507
OFFEND, STIM, LOW, 6, 0.9855, 1.7093, 1.2229, 0.4864, 0.9507
DAGGER, STIM, HIGH, 6, 0.6808, -1.1103, -1.1536, 0.0433, 0.8173
GET, FOIL, LOW, 1, 1.1992, NA, NA, NA, NA
HOLD, STIM, LOW, 6, 0.9998, 0.4815, 0.2805, 0.2011, 0.7172
MARKET, STIM, HIGH, 6, 0.7407, 0.9552, 1.0401, -0.0850, 1.5512
GARDEN, STIM, HIGH, 6, 1.9126, -1.9767, -2.0115, 0.0348, 0.8340
COOL, FOIL, LOW, 1, 3.2643, NA, NA, NA, NA
DRAB, FOIL, LOW, 6, 4.4540, NA, NA, NA, NA
INHALE, FOIL, LOW, 1, 1.1748, NA, NA, NA, NA
JOLT, FOIL, LOW, 1, 1.0099, NA, NA, NA, NA
MOON, FOIL, HIGH, 4, 5.5704, NA, NA, NA, NA
SQUIB, STIM, LOW, 6, 1.4790, 2.7713, 2.9705, -0.1992, 1.1509
BAY, FOIL, HIGH, 1, 2.8437, NA, NA, NA, NA
CANAL, STIM, HIGH, 6, 1.2188, 0.7110, 0.9729, -0.2620, 1.1175
MIGHT, STIM, LOW, 6, 2.3004, 0.1798, 0.7419, -0.5621, 1.1008
MAST, STIM, HIGH, 6, 0.7340, -0.5807, -0.9743, 0.3936, 1.2343
KITTEN, FOIL, HIGH, 1, 1.8042, NA, NA, NA, NA
WEAPON, FOIL, HIGH, 1, 0.9697, NA, NA, NA, NA
SHORT, FOIL, LOW, 1, 2.2137, NA, NA, NA, NA
SANDAL, STIM, HIGH, 3, 4.1644, 2.7881, 1.2588, 1.5294, 3.7362
ORCHID, FOIL, HIGH, 1, 1.0727, NA, NA, NA, NA
TIDY, STIM, LOW, 6, 1.6739, -0.0812, -0.0471, -0.0341, 1.2343
BLOOD, FOIL, HIGH, 1, 2.6703, NA, NA, NA, NA
JEEP, STIM, HIGH, 6, 1.3068, 3.1376, -3.0736, -0.0719, 1.4177
CORPSE, FOIL, HIGH, 1, 2.2349, NA, NA, NA, NA
SHRUB, STIM, HIGH, 6, 1.3932, 1.8440, 1.7285, 0.1156, 1.9181
SKIRT, FOIL, HIGH, 1, 1.5921, NA, NA, NA, NA
MEEK, STIM, LOW, 6, 1.1356, 0.5404, 0.4912, 0.0492, 0.9674
SURTAX, FOIL, LOW, 1, 1.2349, NA, NA, NA, NA
GROW, STIM, LOW, 6, 1.0938, 2.6028, 2.0693, 0.5335, 0.8006
SOUL, STIM, LOW, 6, 1.1044, 2.4837, 1.8568, 0.6268, 1.3343
HAND, FOIL, HIGH, 1, 2.4510, NA, NA, NA, NA
LAW, FOIL, LOW, 1, 2.4302, NA, NA, NA, NA
