WORD                     CNC FAM IMG NLET
VALE                     467 334 421  4   
VANE                     400 411 377  4   
VARY                     258 485 272  4   
VASE                     595 452 563  4   
VEAL                     528 465 519  4   
VEIL                     560 421 516  4   
VEIN                     553 496 546  4   
VERB                     337 534 357  4   
VERY                     223 606 243  4   
VEST                     575 472 581  4   
VETO                     326 361 336  4   
VIAL                     485 371 424  4   
VICE                     399 457 413  4   
VIEW                     379 523 430  4   
VILE                     379 404 444  4   
VINE                     601 411 564  4   
VISE                     402 368 432  4   
VOLT                     489 435 415  4   
VOTE                     389 567 477  4   
WAGE                     451 539 466  4   
WAIL                     439 426 452  4   
WAIT                     317 577 357  4   
WALK                     452 625 505  4   
WALL                     589 596 576  4   
WAND                     570 381 513  4   
WANT                     302 606 361  4   
WARE                     368 394 399  4   
WARN                     315 491 359  4   
WARY                     313 436 315  4   
WASH                     447 632 522  4   
WATT                     350 436 370  4   
WAVE                     492 518 542  4   
WEAK                     351 562 414  4   
WEAR                     360 536 328  4   
WEED                     600 542 596  4   
WEEK                     383 577 481  4   
WEEP                     439 455 523  4   
WELL                     467 550 522  4   
WELT                     458 266 297  4   
WENT                     240 594 308  4   
WERE                     200 593 243  4   
WEST                     355 563 426  4   
WHAT                     293 608 249  4   
WHEN                     219 609 231  4   
WHIP                     570 476 579  4   
WHOM                     243 501 301  4   
WICK                     599 438 535  4   
WIDE                     348 569 455  4   
WIFE                     562 585 575  4   
WILD                     381 572 500  4   
WILL                     275 584 322  4   
WIND                     552 592 535  4   
WINE                     621 570 624  4   
WING                     595 510 584  4   
WINK                     515 521 501  4   
WIRE                     585 556 564  4   
WISE                     268 533 412  4   
WISH                     270 556 399  4   
WITH                     268 608 287  4   
WOLF                     595 537 610  4   
WOMB                     538 508 529  4   
WOOD                     606 574 577  4   
WOOL                     608 540 586  4   
WORK                     402 603 458  4   
WORM                     611 498 578  4   
WORN                     357 537 457  4   
WRAP                     457 549 482  4   
WREN                     629 396 551  4   
YARD                     553 522 568  4   
YAWN                     502 567 545  4   
YEAR                     364 601 428  4   
YELL                     439 509 501  4   
YELP                     402 333 499  4   
YOKE                     542 441 514  4   
YOLK                     593 471 530  4   
YORE                     267 214 218  4   
YOUR                     256 581 289  4   
ZEAL                     304 388 347  4   
ZERO                     341 569 483  4   
ZONE                     392 456 432  4   
